fecha,hini,timestampini,hfin,timestampfin,timestampfin,canthoras,hinicalc,hfincal
2022-11-01,03:39:00,2022-11-01 03:39:00,11:22:00,2022-11-01 11:22:00,2022-11-01 11:22:00,7.72,3.65,11.37
2022-11-02,02:27:00,2022-11-02 02:27:00,11:41:00,2022-11-02 11:41:00,2022-11-02 11:41:00,9.23,2.45,11.68
2022-11-03,00:23:00,2022-11-03 00:23:00,06:20:00,2022-11-03 06:20:00,2022-11-03 06:20:00,5.95,0.38,6.33
2022-11-04,00:12:00,2022-11-04 00:12:00,07:21:00,2022-11-04 07:21:00,2022-11-04 07:21:00,7.15,0.20,7.35
2022-11-05,01:05:00,2022-11-05 01:05:00,08:50:00,2022-11-05 08:50:00,2022-11-05 08:50:00,7.75,1.08,8.83
2022-11-06,00:39:00,2022-11-06 00:39:00,08:55:00,2022-11-06 08:55:00,2022-11-06 08:55:00,8.27,0.65,8.92
2022-11-07,00:14:00,2022-11-07 00:14:00,01:45:00,2022-11-07 01:45:00,2022-11-07 01:45:00,1.52,0.23,1.75
2022-11-07,04:02:00,2022-11-07 04:02:00,04:29:00,2022-11-07 04:29:00,2022-11-07 04:29:00,0.45,4.03,4.48
2022-11-07,05:58:00,2022-11-07 05:58:00,09:31:00,2022-11-07 09:31:00,2022-11-07 09:31:00,3.55,5.97,9.52
2022-11-08,00:36:00,2022-11-08 00:36:00,07:15:00,2022-11-08 07:15:00,2022-11-08 07:15:00,6.65,0.60,7.25
2022-11-08,01:56:00,2022-11-08 01:56:00,03:29:00,2022-11-08 03:29:00,2022-11-08 03:29:00,1.55,1.93,3.48
2022-11-08,03:39:00,2022-11-08 03:39:00,08:35:00,2022-11-08 08:35:00,2022-11-08 08:35:00,4.93,3.65,8.58
2022-11-08,09:21:00,2022-11-08 09:21:00,10:10:00,2022-11-08 10:10:00,2022-11-08 10:10:00,0.82,9.35,10.17
2022-11-09,01:04:00,2022-11-09 01:04:00,10:57:00,2022-11-09 10:57:00,2022-11-09 10:57:00,9.88,1.07,10.95
2022-11-10,00:05:00,2022-11-10 00:05:00,08:58:00,2022-11-10 08:58:00,2022-11-10 08:58:00,8.88,0.08,8.97
2022-11-11,00:25:00,2022-11-11 00:25:00,06:30:00,2022-11-11 06:30:00,2022-11-11 06:30:00,6.08,0.42,6.50
2022-11-11,23:02:00,2022-11-11 23:02:00,00:29:00,2022-11-11 00:29:00,2022-11-11 00:29:00,1.45,-0.97,0.48
2022-11-12,01:09:00,2022-11-12 01:09:00,06:47:00,2022-11-12 06:47:00,2022-11-12 06:47:00,5.63,1.15,6.78
2022-11-12,23:11:00,2022-11-12 23:11:00,01:07:00,2022-11-12 01:07:00,2022-11-12 01:07:00,1.93,-0.82,1.12
2022-11-13,01:18:00,2022-11-13 01:18:00,04:57:00,2022-11-13 04:57:00,2022-11-13 04:57:00,3.65,1.30,4.95
2022-11-13,05:08:00,2022-11-13 05:08:00,07:17:00,2022-11-13 07:17:00,2022-11-13 07:17:00,2.15,5.13,7.28
2022-11-13,23:22:00,2022-11-13 23:22:00,02:42:00,2022-11-13 02:42:00,2022-11-13 02:42:00,3.33,-0.63,2.70
2022-11-14,02:52:00,2022-11-14 02:52:00,04:46:00,2022-11-14 04:46:00,2022-11-14 04:46:00,1.9,2.87,4.77
2022-11-14,05:02:00,2022-11-14 05:02:00,07:50:00,2022-11-14 07:50:00,2022-11-14 07:50:00,2.8,5.03,7.83
2022-11-15,01:13:00,2022-11-15 01:13:00,09:57:00,2022-11-15 09:57:00,2022-11-15 09:57:00,8.73,1.22,9.95
