fecha,iniciosueno,finsueno,canthoras,calorias,pasos,km,rcardmin,rcardmax,rcardprom
11/01/2022,11/01/2022 03:39,11/01/2022 11:22,7.72,52,2407,1.48,44,120,73
11/02/2022,11/02/2022 02:27,11/02/2022 11:41,9.23,72,3603,2.36,47,126,78
11/03/2022,11/03/2022 00:23,11/03/2022 06:20,5.95,56,2279,1.43,52,127,75
11/04/2022,11/04/2022 00:12,11/04/2022 07:21,7.15,121,6395,4.33,52,128,78
11/05/2022,11/05/2022 01:05,11/05/2022 08:50,7.75,134,6559,4.18,54,137,76
11/06/2022,11/06/2022 00:39,11/06/2022 08:55,8.27,56,2541,1.53,53,121,74
11/07/2022,11/07/2022 00:14,11/07/2022 01:45,1.52,110,5783,3.7,45,120,76
11/07/2022,11/07/2022 04:02,11/07/2022 04:29,0.45,,,,,,
11/07/2022,11/07/2022 05:58,11/07/2022 09:31,3.55,,,,,,
11/08/2022,11/08/2022 00:36,11/08/2022 07:15,6.65,53,2591,1.57,43,127,76
11/08/2022,11/08/2022 01:56,11/08/2022 03:29,1.55,,,,,,
11/08/2022,11/08/2022 03:39,11/08/2022 08:35,4.93,,,,,,
11/08/2022,11/08/2022 09:21,11/08/2022 10:10,0.82,,,,,,
11/09/2022,11/09/2022 01:04,11/09/2022 10:57,9.88,80,3337,2.07,47,120,74
11/10/2022,11/10/2022 00:05,11/10/2022 08:58,8.88,74,3250,1.96,45,128,77
11/11/2022,11/11/2022 00:25,11/11/2022 06:30,6.08,109,5567,3.58,46,138,76
11/12/2022,11/11/2022 23:02,11/12/2022 00:29,1.45,110,6527,4.12,50,119,74
11/12/2022,11/12/2022 01:09,11/12/2022 06:47,5.63,,,,,,
11/13/2022,11/12/2022 23:11,11/13/2022 01:07,1.93,47,1911,1.13,47,118,74
11/13/2022,11/13/2022 01:18,11/13/2022 04:57,3.65,,,,,,
11/13/2022,11/13/2022 05:08,11/13/2022 07:17,2.15,,,,,,
11/14/2022,11/13/2022 23:22,11/14/2022 02:42,3.33,78,4219,2.66,45,125,72
11/14/2022,11/14/2022 02:52,14/11/2022 04:46,1.9,,,,,,
11/14/2022,11/14/2022 05:02,14/11/2022 07:50,2.8,,,,,,
11/15/2022,11/15/2022 01:13,15/11/2022 09:57,8.73,57,2571,1.63,48,124,75
