fecha,iniciosueno,finsueno,canthoras,calorias,pasos,km,rcardmin,rcardmax,rcardprom
11/01/2022,03:39:00,11:22:00,7.72,52,2407,1.48,44,120,73
11/02/2022,02:27:00,11:41:00,9.23,72,3603,2.36,47,126,78
11/03/2022,00:23:00,06:20:00,5.95,56,2279,1.43,52,127,75
11/04/2022,00:12:00,07:21:00,7.15,121,6395,4.33,52,128,78
11/05/2022,01:05:00,08:50:00,7.75,134,6559,4.18,54,137,76
11/06/2022,00:39:00,08:55:00,8.27,56,2541,1.53,53,121,74
11/07/2022,00:14:00,01:45:00,1.52,110,5783,3.7,45,120,76
11/07/2022,04:02:00,04:29:00,0.45,,,,,,
11/07/2022,05:58:00,09:31:00,3.55,,,,,,
11/08/2022,00:36:00,07:15:00,6.65,53,2591,1.57,43,127,76
11/08/2022,01:56:00,03:29:00,1.55,,,,,,
11/08/2022,03:39:00,08:35:00,4.93,,,,,,
11/08/2022,09:21:00,10:10:00,0.82,,,,,,
11/09/2022,01:04:00,10:57:00,9.88,80,3337,2.07,47,120,74
11/10/2022,00:05:00,08:58:00,8.88,74,3250,1.96,45,128,77
11/11/2022,00:25:00,06:30:00,6.08,109,5567,3.58,46,138,76
11/11/2022,23:02:00,23:59:59,1.45,110,6527,4.12,50,119,74
11/12/2022,00:00:00,00:29:00,,,,,,,
11/12/2022,01:09:00,06:47:00,5.63,,,,,,
11/12/2022,23:11:00,23:59:59,1.93,47,1911,1.13,47,118,74
11/13/2022,00:00:00,01:07:00,,,,,,,
11/13/2022,01:18:00,04:57:00,3.65,,,,,,
11/13/2022,05:08:00,07:17:00,2.15,,,,,,
11/13/2022,23:22:00,23:59:59,3.33,78,4219,2.66,45,125,72
11/14/2022,00:00:00,02:42:00,,,,,,,
11/14/2022,02:52:00,04:46:00,1.9,,,,,,
11/14/2022,05:02:00,07:50:00,2.8,,,,,,
11/15/2022,01:13:00,09:57:00,8.73,57,2571,1.63,48,124,75
