fecha,iniciosueno,minini,finsueno,minfin,canthoras,calorias,pasos,km,rcardmin,rcardmax,rcardprom
01/11/2022,03:39:00,219,11:22:00,682,7.72,52,2407,1.48,44,120,73
02/11/2022,02:27:00,147,11:41:00,701,9.23,72,3603,2.36,47,126,78
03/11/2022,00:23:00,23,06:20:00,380,5.95,56,2279,1.43,52,127,75
04/11/2022,00:12:00,12,07:21:00,441,7.15,121,6395,4.33,52,128,78
05/11/2022,01:05:00,65,08:50:00,530,7.75,134,6559,4.18,54,137,76
06/11/2022,00:39:00,39,08:55:00,535,8.27,56,2541,1.53,53,121,74
07/11/2022,00:14:00,14,01:45:00,105,1.52,110,5783,3.7,45,120,76
07/11/2022,04:02:00,242,04:29:00,269,0.45,,,,,,
07/11/2022,05:58:00,358,09:31:00,571,3.55,,,,,,
08/11/2022,00:36:00,36,07:15:00,435,6.65,53,2591,1.57,43,127,76
08/11/2022,01:56:00,116,03:29:00,209,1.55,,,,,,
08/11/2022,03:39:00,219,08:35:00,515,4.93,,,,,,
08/11/2022,09:21:00,561,10:10:00,610,0.82,,,,,,
09/11/2022,01:04:00,64,10:57:00,657,9.88,80,3337,2.07,47,120,74
10/11/2022,00:05:00,5,08:58:00,538,8.88,74,3250,1.96,45,128,77
11/11/2022,00:25:00,25,06:30:00,390,6.08,109,5567,3.58,46,138,76
11/11/2022,23:02:00,1382,23:59:00,1440,1.45,110,6527,4.12,50,119,74
12/11/2022,00:00:00,0,00:29:00,29,,,,,,,
12/11/2022,01:09:00,69,06:47:00,407,5.63,,,,,,
12/11/2022,23:11:00,1391,23:59:00,1440,1.93,47,1911,1.13,47,118,74
13/11/2022,00:00:00,0,01:07:00,67,,,,,,,
13/11/2022,01:18:00,78,04:57:00,297,3.65,,,,,,
13/11/2022,05:08:00,308,07:17:00,437,2.15,,,,,,
13/11/2022,23:22:00,1402,23:59:00,1440,3.33,78,4219,2.66,45,125,72
14/11/2022,00:00:00,0,02:42:00,162,,,,,,,
14/11/2022,02:52:00,172,04:46:00,286,1.9,,,,,,
14/11/2022,05:02:00,302,07:50:00,470,2.8,,,,,,
15/11/2022,01:13:00,73,09:57:00,597,8.73,57,2571,1.63,48,124,75
