fecha,timestampini,timestampfin,canthoras
2022-11-01,2022-11-01 03:39:00,2022-11-01 11:22:00,7.72
2022-11-02,2022-11-02 02:27:00,2022-11-02 11:41:00,9.23
2022-11-03,2022-11-03 00:23:00,2022-11-03 06:20:00,5.95
2022-11-04,2022-11-04 00:12:00,2022-11-04 07:21:00,7.15
2022-11-05,2022-11-05 01:05:00,2022-11-05 08:50:00,7.75
2022-11-06,2022-11-06 00:39:00,2022-11-06 08:55:00,8.27
2022-11-07,2022-11-07 00:14:00,2022-11-07 01:45:00,1.52
2022-11-07,2022-11-07 04:02:00,2022-11-07 04:29:00,0.45
2022-11-07,2022-11-07 05:58:00,2022-11-07 09:31:00,3.55
2022-11-08,2022-11-08 00:36:00,2022-11-08 07:15:00,6.65
2022-11-08,2022-11-08 01:56:00,2022-11-08 03:29:00,1.55
2022-11-08,2022-11-08 03:39:00,2022-11-08 08:35:00,4.93
2022-11-08,2022-11-08 09:21:00,2022-11-08 10:10:00,0.82
2022-11-09,2022-11-09 01:04:00,2022-11-09 10:57:00,9.88
2022-11-10,2022-11-10 00:05:00,2022-11-10 08:58:00,8.88
2022-11-11,2022-11-11 00:25:00,2022-11-11 06:30:00,6.08
2022-11-11,2022-11-11 23:02:00,2022-11-12 00:29:00,1.45
2022-11-12,2022-11-12 01:09:00,2022-11-12 06:47:00,5.63
2022-11-12,2022-11-12 23:11:00,2022-11-13 01:07:00,1.93
2022-11-13,2022-11-13 01:18:00,2022-11-13 04:57:00,3.65
2022-11-13,2022-11-13 05:08:00,2022-11-13 07:17:00,2.15
2022-11-13,2022-11-13 23:22:00,2022-11-14 02:42:00,3.33
2022-11-14,2022-11-14 02:52:00,2022-11-14 04:46:00,1.9
2022-11-14,2022-11-14 05:02:00,2022-11-14 07:50:00,2.8
2022-11-15,2022-11-15 01:13:00,2022-11-15 09:57:00,8.73
