fecha,iniciosueno,finsueno,canthoras,calorias,pasos,km,rcardmin,rcardmax,rcardprom
11/01/2022,0.15208333,0.47361111,7.72,52,2407,1.48,44,120,73
11/02/2022,0.10208333,0.48680556,9.23,72,3603,2.36,47,126,78
11/03/2022,0.01597222,0.26388889,5.95,56,2279,1.43,52,127,75
11/04/2022,0.00833333,0.30625000,7.15,121,6395,4.33,52,128,78
11/05/2022,0.04513889,0.36805556,7.75,134,6559,4.18,54,137,76
11/06/2022,0.02708333,0.37152778,8.27,56,2541,1.53,53,121,74
11/07/2022,0.00972222,0.07291667,1.52,110,5783,3.7,45,120,76
11/07/2022,0.16805556,0.18680556,0.45,,,,,,
11/07/2022,0.24861111,0.39652778,3.55,,,,,,
11/08/2022,0.02500000,0.30208333,6.65,53,2591,1.57,43,127,76
11/08/2022,0.08055556,0.14513889,1.55,,,,,,
11/08/2022,0.15208333,0.35763889,4.93,,,,,,
11/08/2022,0.38958333,0.42361111,0.82,,,,,,
11/09/2022,0.04444444,0.45625000,9.88,80,3337,2.07,47,120,74
11/10/2022,0.00347222,0.37361111,8.88,74,3250,1.96,45,128,77
11/11/2022,0.01736111,0.27083333,6.08,109,5567,3.58,46,138,76
11/11/2022,0.95972222,0.99998843,1.45,110,6527,4.12,50,119,74
11/12/2022,0.00000000,0.02013889,,,,,,,
11/12/2022,0.04791667,0.28263889,5.63,,,,,,
11/12/2022,0.96597222,0.99998843,1.93,47,1911,1.13,47,118,74
11/13/2022,0.00000000,0.04652778,,,,,,,
11/13/2022,0.05416667,0.20625000,3.65,,,,,,
11/13/2022,0.21388889,0.30347222,2.15,,,,,,
11/13/2022,0.97361111,0.99998843,3.33,78,4219,2.66,45,125,72
11/14/2022,0.00000000,0.11250000,,,,,,,
11/14/2022,0.11944444,0.19861111,1.9,,,,,,
11/14/2022,0.20972222,0.32638889,2.8,,,,,,
11/15/2022,0.05069444,0.41458333,8.73,57,2571,1.63,48,124,75
